time flux flux_rms
4491.36 63.5715 0.3271
4491.38 64.0156 0.2140
4491.40 63.3851 0.5140
4491.42 63.4426 0.1189
4497.40 64.8704 0.4837
4497.42 64.4849 0.3598
4497.44 64.5161 0.0872
4501.34 65.7422 0.0525
4501.36 65.7140 0.0401
4501.38 65.6800 0.0699
4501.40 65.7304 0.0713
4501.42 65.8373 0.0444
4501.44 66.1058 0.0777
4501.46 66.1240 0.0579
4501.48 66.1079 0.1367
4502.34 66.4699 0.0534
4502.36 66.3704 0.0634
4502.38 66.2137 0.0871
4502.40 66.5316 0.0590
4502.44 66.9471 0.0735
4502.46 67.0216 0.0871
4502.48 67.0889 0.0920
4503.46 66.6898 0.1416
4503.48 67.0284 0.1127
4516.34 66.2618 0.1193
4516.36 65.8026 0.2611
4516.38 66.3119 0.1446
4516.40 65.8770 0.0429
4743.58 67.1045 0.0914
4743.62 67.2119 0.1390
4744.48 66.3405 0.2845
4744.50 66.7865 0.1381
4744.54 67.0872 0.2159
4744.56 66.8111 0.0795
4744.58 67.1604 0.1126
4746.62 64.6150 0.4595
4746.64 64.8253 0.3362
4749.48 65.8139 0.1388
4749.52 66.0150 0.1402
4749.54 65.9602 0.1317
4749.56 66.0737 0.0882
4749.58 66.4115 0.0505
4749.60 66.1345 0.1394
4749.62 66.4171 0.0901
4750.46 66.3220 0.2509
4750.48 66.6546 0.1279
4750.52 66.9296 0.1856
4750.54 67.2585 0.1108
4750.56 67.1049 0.1047
4750.58 67.4693 0.1124
4750.62 67.3959 0.0909
4751.46 67.5344 0.1901
4751.48 67.3788 0.1583
4751.50 67.6839 0.1785
4751.52 67.4840 0.1051
4751.54 67.2323 0.1810
4751.56 67.4184 0.1304
4751.58 67.6768 0.0967
4751.60 67.5807 0.1961
4751.62 67.5697 0.0539
4752.46 66.4325 0.1759
4752.48 66.7292 0.1072
4752.50 66.2557 0.2099
4752.52 66.5395 0.0807
4752.54 66.3798 0.1071
4752.56 66.7580 0.0928
4752.58 66.7986 0.0866
4752.60 66.7165 0.0914
4752.62 66.8820 0.0763
4752.64 66.7420 0.1943
4752.66 66.1748 0.1201
4752.68 66.0077 0.1494
4752.70 66.0961 0.0904
4752.72 66.0820 0.1251
4753.46 65.7985 0.2453
4753.58 66.3368 0.4070
4753.60 66.4143 0.1534
4753.62 66.7648 0.1759
4753.64 66.3664 0.1102
4753.66 66.2663 0.1419
4753.68 66.2581 0.1495
4753.70 66.3346 0.1258
4753.72 66.1119 0.0968
4754.58 67.2420 0.3670
4754.60 66.7777 0.1330
4754.62 66.4497 0.1038
4754.64 66.3524 0.1792
4754.66 66.2151 0.1204
4754.68 66.0426 0.0751
4754.70 66.1221 0.1033
4754.72 65.8037 0.1306
4755.60 65.8517 0.0991
4755.62 65.9075 0.0688
4755.64 65.7322 0.0774
4755.66 65.6253 0.0703
4757.46 67.1539 0.1499
4757.50 67.0059 0.1044
4757.52 67.2702 0.1503
4757.56 67.1290 0.1050
4757.60 67.4513 0.0855
4757.62 67.5189 0.2460
4758.44 67.4843 0.1259
4758.46 67.8603 0.3427
4758.50 67.2328 0.3735
4758.52 66.8031 0.1424
4758.54 67.2316 0.1359
4758.56 66.9738 0.1200
4758.58 67.1244 0.1420
4758.60 66.9328 0.1624
4758.62 67.2600 0.1664
4759.52 67.7159 0.5754
4759.58 66.1072 0.1549
4759.60 65.8020 0.1296
4759.62 66.1962 0.2880
4760.58 67.3579 0.2146
4760.60 67.4458 0.1320
4760.62 67.5875 0.0937
4760.64 67.4023 0.0914
4760.66 67.7177 0.0874
4760.68 67.4826 0.0843
4760.70 67.4260 0.0717
4760.72 67.4991 0.0687
4760.74 67.4642 0.0552
4760.76 67.3617 0.0395
4763.48 68.3454 0.2012
4763.50 68.2238 0.1796
4763.52 68.3366 0.1041
4763.54 68.4076 0.1451
4763.56 68.1973 0.1600
4763.58 68.3213 0.1506
4763.60 68.2763 0.1442
4763.62 68.3018 0.1322
4763.64 67.9412 0.0650
4763.66 67.7677 0.0914
4763.68 68.1716 0.1449
4763.70 67.7197 0.1856
4764.44 67.6510 0.1880
4764.56 68.6169 0.2840
4764.58 67.8976 0.1827
4764.60 68.1343 0.1620
4764.62 67.6622 0.1512
4764.64 67.7640 0.1324
4764.66 67.7079 0.1327
4764.68 67.6073 0.0941
4764.70 67.8026 0.1108
4764.72 67.6582 0.0824
4764.74 67.3193 0.0971
4764.76 67.7135 0.0881
4764.78 67.6402 0.0851
4765.48 68.9605 0.2820
4765.50 68.5621 0.2608
4765.54 68.7604 0.0524
4765.56 68.4836 0.1573
4765.58 68.8921 0.3552
4765.60 67.9058 0.0905
4765.62 67.9485 0.1999
4766.42 66.7964 0.2855
4766.46 67.8184 0.0993
4766.48 68.0339 0.1045
4766.50 68.4621 0.0506
4766.52 68.5991 0.0813
4766.62 70.6429 0.4163
4767.56 67.6928 0.1418
4767.58 67.4084 0.1382
4767.60 67.7879 0.1118
4767.62 67.3093 0.0888
4767.64 67.5467 0.0809
4768.42 66.7281 0.2105
4768.46 66.4108 0.2049
4768.48 66.5382 0.0726
4768.50 66.6088 0.1857
4768.54 66.4916 0.2020
4768.56 66.8367 0.2035
4768.58 66.4182 0.1839
4768.60 67.2858 0.1207
4769.52 65.4744 0.0505
4769.54 64.7028 0.2267
4769.56 63.9800 0.2477
4769.58 64.1088 0.1652
4769.60 63.6683 0.2056
4769.62 63.0572 0.1088
4770.42 64.7986 0.2934
4770.46 64.8444 0.0845
4770.48 64.9201 0.0891
4770.50 65.1565 0.0986
4770.52 64.9353 0.1122
4770.54 65.1151 0.1005
4770.56 65.3251 0.0880
4770.58 65.1598 0.0613
4770.60 65.1995 0.0670
4770.62 65.2370 0.1172
4771.40 65.5181 0.2048
4771.42 65.7238 0.2265
4771.46 65.6767 0.1075
4771.48 65.5154 0.1775
4772.40 64.5789 0.2391
4772.42 64.9790 0.1734
4774.40 62.3882 0.0962
4774.46 61.7587 0.1156
4774.48 61.6545 0.1039
4774.50 61.4134 0.1164
4775.46 59.5319 0.2865
4775.48 58.9793 0.1429
4775.50 59.0600 0.1080
4775.52 58.9520 0.1299
4775.54 59.9954 0.4290
4775.56 59.0245 0.0824
4775.60 58.9198 0.0636
4777.54 47.4064 0.1794
4777.56 47.3626 0.0831
4777.58 47.9520 0.1174
4777.60 48.5982 0.1420
4777.62 49.2863 0.0812
4777.64 50.3924 0.1345
4777.66 51.2855 0.1005
4777.68 52.4458 0.1346
4777.70 53.2556 0.1004
4777.72 54.5508 0.1043
4777.74 55.3726 0.2198
4778.44 55.4138 0.1715
4779.38 53.2591 0.1937
4779.40 53.2355 0.1615
4779.44 53.1647 0.1488
4779.46 52.8190 0.0757
4779.48 53.1928 0.0779
4780.38 52.2449 0.1653
4780.40 52.1001 0.2528
4780.42 52.3141 0.1522
4780.44 52.7507 0.1995
4780.46 52.5702 0.1537
4780.48 52.5444 0.0890
4780.50 52.5831 0.0771
4780.52 52.4804 0.1513
4780.54 52.6873 0.0784
4780.56 52.7365 0.0849
